text,label
Connect with Facebook for a personalized experience!,1
Oops! Something went wrong. Please try again later,1
"By clicking 'Accept,' you agree to our terms and conditions.",1
Great deals! Checkout now.,1
Click here to manage your email preferences.,1
Proceed to checkout vs Continue shopping,1
Personalized recommendations just for you!,1
Frequently bought together.,1
Enhance your purchase with these recommended add-ons!,1
Click here to unsubscribe.,1
Sign up for our exclusive newsletter to receive special offers and updates! Click 'Continue' to enjoy these benefits!,1
Subscribe to our newsletter for updates and special offers. Click 'Continue' if you're interested.,0
FLASH SALE | LIMITED TIME ONLY Shop Now,1
Free Shipping on All Orders!,1
Easy Returns and Exchanges!,1
Upgrade to Premium for Exclusive Benefits!,1
"Compare at $X, Our Price $Y!",1
Click to Redeem Your Coupon!,1
Pillowcases & Shams,0
Write a review,0
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",0
newsletter signup (privacy policy),0
In demand,1
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",0
Hurry! Only 2 left in stock,1
In Stock only 3 left,1
International Shipping Policy,0
Create an Account for Faster Checkout!,1
Allow Notifications for Exclusive Deals!,1
"Clothes, Shoes & Accessories",0
Hurry! Only 2 left,1
Primary Arms Scopes,0
ONLY 8 LEFT,1
Recommended for You: Sponsored Product X,1
Join our Loyalty Program and Earn Rewards!,1
Experience Enhanced Features with Email Signup!,1
Total cost: $29.99 (Includes taxes and free shipping).,0
See What Your Friends Are Buying!,1
MoTrail,0
LCD Ribbon Cables,0
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,0
OUR BEST SELLING GOGGLE,1
One-page checkout for a quick and easy purchase!,0
Upgrade to Premium for Exclusive Benefits!,1
Click to Redeem Your Coupon! ,1
Frequently bought together. ,1
"1,142 people have added to cart recently",1
Limited Availability,1
No thanks. I don't like free things...,1
read you will want to read -- Five Book Group Favourites * Sunday Post *,0
Supply & Demand,0
"Michael in Pontiac, United States purchased a",1
Bathroom Lighting,0
Shop Optics >,0
9 people are viewing this.,1
"894 Claimed! Hurry, only a few left!",1
77 PEOPLE LIKE THIS,1
Girls Trousers,0
Specs,0
4 items left,1
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,1
Offer ends in,1
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",1
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,1
More Info,0
Daystate FAC Air Rifles,0
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",0
24 sold in last 24 hours.,1
#CERTIFIED_FACE_MASKS,0
Shop the Look,0
Kicks Remotes,0
Only 7 left in stock.,1
Whey Protein Isolate,0
Cases for Magsafe Refine by Product Type: Cases for Magsafe,0
Product Info,0
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,1
Sign In With Google,0
Shop All,0
You can change your preference here Shop for Select an age,0
1 in Stock,1
shop all,0
Low Stock Alert: Only 8 left in inventory,1
Womens Platform Shoes,0
Screen print graphics,0
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",1
Thin and tough - protects from minor scratches,0
Kimberly R.,0
I don't feel lucky,1
Only 3 items left,1
Butterscotch Cakes,0
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",1
Awntech New Yorker Window/Entry Slope Awnin ...,0
45 ADDED TO BAG IN THE PAST 24 HOURS,1
87% offers claimed. Hurry up!,1
HURRY! £32.99 UK DELIVERY ENDS SOON,1
ONLY 3 LEFT,1
8 items left,1
19 people viewed this product per day,1
Irwin,0
96 ITEM(S) LEFT IN STOCK!,1
__________,0
Only 1 left In Stock,1
Availability: Only 4 Left!,1
Personalised Gifts,0
A customer service specialist will contact you soon.,0
Your order is reserved for 09:54 minutes!,1
Screws & Other Fixings,0
Use the domain shortly after payment,0
Office Supplies & Decor,0
This size has only 1 left in stock,1
Arrow,0
Returns an Item,0
HOT PRODUCT Over 250 people are looking at this item.,1
I don't want to save money,1
HURRY! ONLY 2 LEFT IN STOCK!,1
Hair type: Curly,0
DEAL ENDS IN 40:55:13,1
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,1
Only 1 Left,1
Search for similiar products,0
Only 33 left,1
FAMILY SHADE PACK | PICK YOUR PACK,0
Promaster City Remotes,0
"Hurry, only a few left!",1
V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for.,0
Only 11 left!,1
Hurry! Only 6 left in stock,1
40 users are currently active on our website just now.,1
Hair Tools,0
Email Address*,0
Send Us Your Jersey,0
View All Home Office Furniture,0
Search Result:Search Results:,0
90% offers claimed. Hurry up!,1
Tube Tops,0
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",1
Hair type: Wavy,0
7 people looked at this product in the last 24 hours.,1
Glow Gear,0
18 In Stock,1
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,1
00:15:07:45,1
"No, I'll rather pay full price.",1
Only 9 Left.,1
Deals of the Week,0
"... It covers love and loss, friendship and pain through",0
1 person is viewing this,1
Your order is reserved for 09:14 minutes!,1
"Gift TypeFlowers, Cakes, Plants, etc.",0
CAMILLA World,0
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,0
Fun Treat Tossing,0
Limited time remaining!,1
"No thanks, I'll pay full price",1
Your shopping bag is empty...,0
Trousers & Chinos,0
Only 7 left in stock!,1
Only 5 item(s) left.,1
Chargers,0
(only 5 left),1
Eyelashes,0
Pick the price that matches your budget.,0
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",0
Child Safety,0
Cosmic Rainbow,0
NRA Annual Meetings & Exhibits,0
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,0
Moonstone Beads,0
I'll Shop Without A Discount,1
Only 11 Left In Stock,1
Netherlands Antilles USD,0
Was this product description useful?YesNo,0
Returns Information,0
TiesToys & GamesTravelWatches,0
Bought by 39 people in last few hours! HOT SELLER!,1
Books and Stationery,0
Your order is reserved for 08:48 minutes!,1
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,1
Bioactive Custodians,0
Most-Hearted Styles Shop Now,0
Use a clean vase and clean water.,0
"well, this is awkward.",0
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,0
All Licensed,0
Nursing chairs,0
Only 1 Item(s) left,1
Discount pending $10 OFF 00:30:00,1
Juniors' Shoes,0
Limited Time: $10 Off! Discount Reflected In Price!,1
Switchers,0
Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy,0
Ribbons,0
"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",0
IN 43 PEOPLE'S SHOPPING BAG,1
Amethyst Beads,0
Down Jackets,0
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,1
"BERNARD in Philadelphia, United States purchased a",1
"NO THANKS, I DON’T MIND MISSING OUT",1
"Hurry, only 1 left!",1
Only 26 Left,1
7 sold in last 24 hours,1
Buy Wearables»,0
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,1
Watercolour Brushes Toggle category Watercolour Brushes,0
LightInTheBox 掲載記事,0
Clear filter,0
HURRY UP > 09H 42M 39S,1
Sweats,0
Q: Will this damage my hair?,0
Brandon Blackwood,0
"Someone in Sasebo, Japan just bought",1
80 Customers are considering this product right now.,1
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,1
End Tables,0
ONLY 2 LEFT IN STOCK!,1
Only few items left in stock,1
Only 1.75 yards left in stock!,1
"Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase",0
71 people have purchased this item,1
Only 8 left,1
Subscribe & Save,1
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",0
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",1
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",1
00DAYS00HOURS14MINUTES21SECONDS,1
"Great prices, professional customer services",0
Carnival Remotes,0
Hurry! Only 1 left in size M!!,1
Items in your cart are in high demand.,1
VIP Points!,0
Root Touch Up + Brow Filler,0
Limited stock Only 2 left,1
"Looks like your cart is empty, let's fix that!",0
Over 500 left in stock,1
Lasers,0
Choose your payment day. View your schedule and select pay now.,0
Hurry up! 6 people other than you have this product in their cart,1
E-Gift Cards,0
1 LEFT,1
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,1
Personalised Chocolates,0
Shop Dresses by Occasion,0
I do not want to protect my item,1
Add to Your Gift and We'll Ship it For Free!,1
Wallets,0
Exclusive offers & discounts for club members via email,0
Buy with humm.,0
"Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living",0
Synthesis E-MTB Carbon Wheelset,0
"25,439 people have viewed this item",1
No thanks I definitely measured correctly,1
57 PEOPLE HAVE LOOKED AT THIS TODAY,1
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,1
Women's ApparelCollection,0
"Before you check out, can we tempt you?",1
Women's Sandals,0
Plant-Based Beauty,0
